key,text
equipment_info_berdiche,"Berdiche."
equipment_info_billhook,"Billhook."
equipment_info_bludgeon,"Bludgeon."
equipment_info_crossbow,"Crossbow."
equipment_info_cudgel,"Cudgel."
equipment_info_curved_bow,"Curved Bow."
equipment_info_dagger,"Dagger."
equipment_info_example_weapon,"Example Weapon."
equipment_info_falchion,"Falchion."
equipment_info_flail,"Flail."
equipment_info_greataxe,"Greataxe."
equipment_info_greatsword,"Greatsword."
equipment_info_hand_ram,"Hand Ram."
equipment_info_hatchet,"Hatchet."
equipment_info_heavy_crossbow,"Heavy Crossbow."
equipment_info_iron_heavy_crossbow,"A heavy crossbow built with iron components."
equipment_info_iron_long_bow,"A long bow reinforced with iron fittings."
equipment_info_iron_throwing_axes,"A balanced set of throwing axes with iron heads."
equipment_info_knightly_sword,"Knightly Sword."
equipment_info_light_crossbow,"Light Crossbow."
equipment_info_light_javelins,"Light Javelins."
equipment_info_long_bow,"Long Bow."
equipment_info_longsword,"Longsword."
equipment_info_mace,"Mace."
equipment_info_metal_hand_ram,"Metal Hand Ram."
equipment_info_military_pick,"Military Pick."
equipment_info_reinforced_flail,"Reinforced Flail."
equipment_info_reinforced_spear,"Reinforced Spear."
equipment_info_short_bow,"Short Bow."
equipment_info_short_sword,"Short Sword."
equipment_info_sling,"Sling."
equipment_info_sling_staff,"Sling Staff."
equipment_info_spear,"Spear."
equipment_info_staff,"Staff."
equipment_info_steel_heavy_crossbow,"A heavy crossbow built with steel components."
equipment_info_steel_long_bow,"A long bow reinforced with steel fittings."
equipment_info_steel_throwing_axes,"A balanced set of throwing axes with steel heads."
equipment_info_throwing_axes,"Throwing Axes."
equipment_info_two_handed_flail,"Two Handed Flail."
equipment_info_two_handed_flanged_mace,"Two Handed Flanged Mace."
equipment_info_two_handed_mace,"Two Handed Mace."
equipment_info_two_handed_warhammer,"Two Handed Warhammer."
equipment_info_war_bow,"War Bow."
equipment_info_warfork,"Warfork."
equipment_info_warhammer,"Warhammer."
equipment_name_berdiche,"Berdiche"
equipment_name_billhook,"Billhook"
equipment_name_bludgeon,"Bludgeon"
equipment_name_crossbow,"Crossbow"
equipment_name_cudgel,"Cudgel"
equipment_name_curved_bow,"Curved Bow"
equipment_name_dagger,"Dagger"
equipment_name_example_weapon,"Example Weapon"
equipment_name_falchion,"Falchion"
equipment_name_flail,"Flail"
equipment_name_greataxe,"Greataxe"
equipment_name_greatsword,"Greatsword"
equipment_name_hand_ram,"Hand Ram"
equipment_name_hatchet,"Hatchet"
equipment_name_heavy_crossbow,"Heavy Crossbow"
equipment_name_iron_heavy_crossbow,"Iron Heavy Crossbow"
equipment_name_iron_long_bow,"Iron Long Bow"
equipment_name_iron_throwing_axes,"Iron Throwing Axes"
equipment_name_knightly_sword,"Knightly Sword"
equipment_name_light_crossbow,"Light Crossbow"
equipment_name_light_javelins,"Light Javelins"
equipment_name_long_bow,"Long Bow"
equipment_name_longsword,"Longsword"
equipment_name_mace,"Mace"
equipment_name_metal_hand_ram,"Metal Hand Ram"
equipment_name_military_pick,"Military Pick"
equipment_name_reinforced_flail,"Reinforced Flail"
equipment_name_reinforced_spear,"Reinforced Spear"
equipment_name_short_bow,"Short Bow"
equipment_name_short_sword,"Short Sword"
equipment_name_sling,"Sling"
equipment_name_sling_staff,"Sling Staff"
equipment_name_spear,"Spear"
equipment_name_staff,"Staff"
equipment_name_steel_heavy_crossbow,"Steel Heavy Crossbow"
equipment_name_steel_long_bow,"Steel Long Bow"
equipment_name_steel_throwing_axes,"Steel Throwing Axes"
equipment_name_throwing_axes,"Throwing Axes"
equipment_name_two_handed_flail,"Two Handed Flail"
equipment_name_two_handed_flanged_mace,"Two Handed Flanged Mace"
equipment_name_two_handed_mace,"Two Handed Mace"
equipment_name_two_handed_warhammer,"Two Handed Warhammer"
equipment_name_war_bow,"War Bow"
equipment_name_warfork,"Warfork"
equipment_name_warhammer,"Warhammer"
