Key,Type,Desc,Japanese [ja]
equipment_info_iron_heavy_crossbow,Text,,"鉄製のボルトを放つヘビィクロスボウ"
equipment_info_iron_long_bow,Text,,"鉄製の矢を放つロングボウ"
equipment_info_iron_throwing_axes,Text,,"鉄製の斧頭を備えた、扱いやすい投擲斧のセット"
equipment_info_steel_heavy_crossbow,Text,,"鋼製のボルトを放つヘビィクロスボウ"
equipment_info_steel_long_bow,Text,,"鋼製の矢を放つロングボウ"
equipment_info_steel_throwing_axes,Text,,"鋼製の斧頭を備えた、扱いやすい投擲斧のセット"
equipment_info_iron_military_pick,Text,,"鉄製の軍用メイルピック"
equipment_info_steel_military_pick,Text,,"鋼製の軍用メイルピック"
equipment_info_iron_reinforced_flail,Text,,"鉄製の強化フレイル"
equipment_info_steel_reinforced_flail,Text,,"鋼製の強化フレイル"
equipment_info_iron_two_handed_flail,Text,,"鉄製の両手フレイル"
equipment_info_steel_two_handed_flail,Text,,"鋼製の両手フレイル"
equipment_info_iron_reinforced_spear,Text,,"鉄製の強化スピア"
equipment_info_steel_reinforced_spear,Text,,"鋼製の強化スピア"
equipment_info_iron_billhook,Text,,"鉄製のビルフック"
equipment_info_steel_billhook,Text,,"鋼製のビルフック"
equipment_info_iron_berdiche,Text,,"鉄製のバルディッシュ"
equipment_info_steel_berdiche,Text,,"鋼製のバルディッシュ"
equipment_name_iron_heavy_crossbow,Text,,"ヘビィクロスボウ（鉄）"
equipment_name_iron_long_bow,Text,,"ロングボウ（鉄）"
equipment_name_iron_throwing_axes,Text,,"投擲斧（鉄）"
equipment_name_steel_heavy_crossbow,Text,,"ヘビィクロスボウ（鋼）"
equipment_name_steel_long_bow,Text,,"ロングボウ（鋼）"
equipment_name_steel_throwing_axes,Text,,"投擲斧（鋼）"
equipment_name_iron_military_pick,Text,,"軍用メイルピック（鉄）"
equipment_name_steel_military_pick,Text,,"軍用メイルピック（鋼）"
equipment_name_iron_reinforced_flail,Text,,"強化フレイル（鉄）"
equipment_name_steel_reinforced_flail,Text,,"強化フレイル（鋼）"
equipment_name_iron_two_handed_flail,Text,,"両手フレイル（鉄）"
equipment_name_steel_two_handed_flail,Text,,"両手フレイル（鋼）"
equipment_name_iron_reinforced_spear,Text,,"強化スピア（鉄）"
equipment_name_steel_reinforced_spear,Text,,"強化スピア（鋼）"
equipment_name_iron_billhook,Text,,"ビルフック（鉄）"
equipment_name_steel_billhook,Text,,"ビルフック（鋼）"
equipment_name_iron_berdiche,Text,,"バルディッシュ（鉄）"
equipment_name_steel_berdiche,Text,,"バルディッシュ（鋼）"
