mode_key,weapon_id,weapon_mode,quality,dataset,armor_profile,flat_mitigation_proxy,damage_raw,ignoresArmor,precision,attackSpeed,dealt_hp_damage_proxy,expected_dps_armor_proxy,armorDamage_raw_not_in_hp_proxy
short_bow,short_bow,primary,Q1,vanilla,none,0.00,12.00,0.8000,0.950,4.95,12.00,2.30,0.40
short_bow,short_bow,primary,Q1,vanilla,light,0.28,12.00,0.8000,0.950,4.95,11.33,2.17,0.40
short_bow,short_bow,primary,Q1,vanilla,plate_iron,0.68,12.00,0.8000,0.950,4.95,10.37,1.99,0.40
short_bow,short_bow,primary,Q2,vanilla,none,0.00,12.00,0.8000,0.980,4.95,12.00,2.38,0.40
short_bow,short_bow,primary,Q2,vanilla,light,0.28,12.00,0.8000,0.980,4.95,11.33,2.24,0.40
short_bow,short_bow,primary,Q2,vanilla,plate_iron,0.68,12.00,0.8000,0.980,4.95,10.37,2.05,0.40
short_bow,short_bow,primary,Q3,vanilla,none,0.00,12.00,0.8000,1.000,4.95,12.00,2.42,0.40
short_bow,short_bow,primary,Q3,vanilla,light,0.28,12.00,0.8000,1.000,4.95,11.33,2.29,0.40
short_bow,short_bow,primary,Q3,vanilla,plate_iron,0.68,12.00,0.8000,1.000,4.95,10.37,2.09,0.40
short_bow,short_bow,primary,Q4,vanilla,none,0.00,12.00,0.8000,1.000,4.95,12.00,2.42,0.40
short_bow,short_bow,primary,Q4,vanilla,light,0.28,12.00,0.8000,1.000,4.95,11.33,2.29,0.40
short_bow,short_bow,primary,Q4,vanilla,plate_iron,0.68,12.00,0.8000,1.000,4.95,10.37,2.09,0.40
short_bow,short_bow,primary,Q5,vanilla,none,0.00,12.00,0.8000,1.000,4.95,12.00,2.42,0.40
short_bow,short_bow,primary,Q5,vanilla,light,0.28,12.00,0.8000,1.000,4.95,11.33,2.29,0.40
short_bow,short_bow,primary,Q5,vanilla,plate_iron,0.68,12.00,0.8000,1.000,4.95,10.37,2.09,0.40
short_bow,short_bow,primary,Q6,vanilla,none,0.00,12.00,0.8000,1.000,4.95,12.00,2.42,0.40
short_bow,short_bow,primary,Q6,vanilla,light,0.28,12.00,0.8000,1.000,4.95,11.33,2.29,0.40
short_bow,short_bow,primary,Q6,vanilla,plate_iron,0.68,12.00,0.8000,1.000,4.95,10.37,2.09,0.40
short_bow,short_bow,primary,Q1,mod,none,0.00,10.23,0.3500,0.950,3.63,10.23,2.68,0.10
short_bow,short_bow,primary,Q1,mod,light,0.28,10.23,0.3500,0.950,3.63,8.37,2.19,0.10
short_bow,short_bow,primary,Q1,mod,plate_iron,0.68,10.23,0.3500,0.950,3.63,5.71,1.50,0.10
short_bow,short_bow,primary,Q2,mod,none,0.00,10.56,0.3500,0.980,3.59,10.56,2.88,0.10
short_bow,short_bow,primary,Q2,mod,light,0.28,10.56,0.3500,0.980,3.59,8.64,2.36,0.10
short_bow,short_bow,primary,Q2,mod,plate_iron,0.68,10.56,0.3500,0.980,3.59,5.89,1.61,0.10
short_bow,short_bow,primary,Q3,mod,none,0.00,10.90,0.3500,1.000,3.52,10.90,3.10,0.10
short_bow,short_bow,primary,Q3,mod,light,0.28,10.90,0.3500,1.000,3.52,8.91,2.53,0.10
short_bow,short_bow,primary,Q3,mod,plate_iron,0.68,10.90,0.3500,1.000,3.52,6.08,1.73,0.10
short_bow,short_bow,primary,Q4,mod,none,0.00,11.45,0.3500,1.000,3.45,11.45,3.32,0.10
short_bow,short_bow,primary,Q4,mod,light,0.28,11.45,0.3500,1.000,3.45,9.37,2.72,0.10
short_bow,short_bow,primary,Q4,mod,plate_iron,0.68,11.45,0.3500,1.000,3.45,6.39,1.85,0.10
short_bow,short_bow,primary,Q5,mod,none,0.00,12.12,0.3500,1.000,3.34,12.12,3.62,0.10
short_bow,short_bow,primary,Q5,mod,light,0.28,12.12,0.3500,1.000,3.34,9.91,2.96,0.10
short_bow,short_bow,primary,Q5,mod,plate_iron,0.68,12.12,0.3500,1.000,3.34,6.76,2.02,0.10
short_bow,short_bow,primary,Q6,mod,none,0.00,12.79,0.3500,1.000,3.20,12.79,3.99,0.10
short_bow,short_bow,primary,Q6,mod,light,0.28,12.79,0.3500,1.000,3.20,10.46,3.27,0.10
short_bow,short_bow,primary,Q6,mod,plate_iron,0.68,12.79,0.3500,1.000,3.20,7.14,2.23,0.10
war_bow,war_bow,primary,Q1,vanilla,none,0.00,20.00,0.8000,0.950,4.95,20.00,3.84,0.40
war_bow,war_bow,primary,Q1,vanilla,light,0.28,20.00,0.8000,0.950,4.95,18.88,3.62,0.40
war_bow,war_bow,primary,Q1,vanilla,plate_iron,0.68,20.00,0.8000,0.950,4.95,17.28,3.32,0.40
war_bow,war_bow,primary,Q2,vanilla,none,0.00,20.00,0.8000,0.980,4.95,20.00,3.96,0.40
war_bow,war_bow,primary,Q2,vanilla,light,0.28,20.00,0.8000,0.980,4.95,18.88,3.74,0.40
war_bow,war_bow,primary,Q2,vanilla,plate_iron,0.68,20.00,0.8000,0.980,4.95,17.28,3.42,0.40
war_bow,war_bow,primary,Q3,vanilla,none,0.00,20.00,0.8000,1.000,4.95,20.00,4.04,0.40
war_bow,war_bow,primary,Q3,vanilla,light,0.28,20.00,0.8000,1.000,4.95,18.88,3.81,0.40
war_bow,war_bow,primary,Q3,vanilla,plate_iron,0.68,20.00,0.8000,1.000,4.95,17.28,3.49,0.40
war_bow,war_bow,primary,Q4,vanilla,none,0.00,20.00,0.8000,1.000,4.95,20.00,4.04,0.40
war_bow,war_bow,primary,Q4,vanilla,light,0.28,20.00,0.8000,1.000,4.95,18.88,3.81,0.40
war_bow,war_bow,primary,Q4,vanilla,plate_iron,0.68,20.00,0.8000,1.000,4.95,17.28,3.49,0.40
war_bow,war_bow,primary,Q5,vanilla,none,0.00,20.00,0.8000,1.000,4.95,20.00,4.04,0.40
war_bow,war_bow,primary,Q5,vanilla,light,0.28,20.00,0.8000,1.000,4.95,18.88,3.81,0.40
war_bow,war_bow,primary,Q5,vanilla,plate_iron,0.68,20.00,0.8000,1.000,4.95,17.28,3.49,0.40
war_bow,war_bow,primary,Q6,vanilla,none,0.00,20.00,0.8000,1.000,4.95,20.00,4.04,0.40
war_bow,war_bow,primary,Q6,vanilla,light,0.28,20.00,0.8000,1.000,4.95,18.88,3.81,0.40
war_bow,war_bow,primary,Q6,vanilla,plate_iron,0.68,20.00,0.8000,1.000,4.95,17.28,3.49,0.40
war_bow,war_bow,primary,Q1,mod,none,0.00,16.39,0.5800,0.950,4.86,16.39,3.20,0.10
