sim_id,category,hand_label,weapon_id,weapon_mode,quality,dataset,armor_profile,mitigation_base,armor_hp_max_fictional,n_hits,damage,ignoresArmor,armorDamage,attackSpeed,precision,total_dealt_hp_static,total_dealt_hp_armor_decay,expected_dps_proxy_static,expected_dps_proxy_decay
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,vanilla,none,0.00,0.0,20,12.00,0.8000,0.40,4.95,1.000,240.00,240.00,2.42,2.42
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,vanilla,light,0.28,100.0,20,12.00,0.8000,0.40,4.95,1.000,226.56,227.07,2.29,2.29
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,12.00,0.8000,0.40,4.95,1.000,207.36,207.80,2.09,2.10
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,mod,none,0.00,0.0,20,10.90,0.3500,0.10,3.52,1.000,217.95,217.95,3.10,3.10
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,mod,light,0.28,100.0,20,10.90,0.3500,0.10,3.52,1.000,178.28,178.66,2.53,2.54
ranged_short_bow,ranged,ranged,short_bow,primary,Q3,mod,plate_iron,0.68,280.0,20,10.90,0.3500,0.10,3.52,1.000,121.62,121.94,1.73,1.73
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,vanilla,none,0.00,0.0,20,20.00,0.8000,0.40,4.95,1.000,400.00,400.00,4.04,4.04
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,vanilla,light,0.28,100.0,20,20.00,0.8000,0.40,4.95,1.000,377.60,378.45,3.81,3.82
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,vanilla,plate_iron,0.68,280.0,20,20.00,0.8000,0.40,4.95,1.000,345.60,346.34,3.49,3.50
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,mod,none,0.00,0.0,20,17.46,0.5800,0.10,4.72,1.000,349.27,349.27,3.70,3.70
ranged_war_bow,ranged,ranged,war_bow,primary,Q3,mod,light,0.28,100.0,20,17.46,0.5800,0.10,4.72,1.000,308.20,308.59,3.26,3.27
