group_type,group_name,mode_key,weapon_id,mode,quality,dataset,damage,attackSpeed,range,precision,precisionFalloff,ignoresArmor,armorDamage
by_category,sword_family,dagger,dagger,primary,Q1,vanilla,9.60,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q1,mod,9.60,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,dagger,dagger,primary,Q2,vanilla,11.40,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q2,mod,11.40,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,dagger,dagger,primary,Q3,vanilla,12.00,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q3,mod,12.00,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,dagger,dagger,primary,Q4,vanilla,13.20,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q4,mod,13.20,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,dagger,dagger,primary,Q5,vanilla,14.40,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q5,mod,14.40,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,dagger,dagger,primary,Q6,vanilla,16.80,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,dagger,dagger,primary,Q6,mod,16.80,2.90,0.00,1.000,0.0000,0.1800,0.55
by_category,sword_family,short_sword,short_sword,primary,Q1,vanilla,12.80,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q1,mod,12.80,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,short_sword,short_sword,primary,Q2,vanilla,15.20,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q2,mod,15.20,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,short_sword,short_sword,primary,Q3,vanilla,16.00,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q3,mod,16.00,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,short_sword,short_sword,primary,Q4,vanilla,17.60,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q4,mod,17.60,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,short_sword,short_sword,primary,Q5,vanilla,19.20,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q5,mod,19.20,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,short_sword,short_sword,primary,Q6,vanilla,22.40,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,short_sword,short_sword,primary,Q6,mod,22.40,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,falchion,falchion,primary,Q1,vanilla,12.80,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,falchion,falchion,primary,Q1,mod,12.80,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,falchion,falchion,primary,Q2,vanilla,15.20,3.15,0.00,1.000,0.0000,0.7000,0.60
by_category,sword_family,falchion,falchion,primary,Q2,mod,15.20,3.00,0.00,1.000,0.0000,0.2600,0.58
by_category,sword_family,falchion,falchion,primary,Q3,vanilla,16.00,3.15,0.00,1.000,0.0000,0.7000,0.60
