group_type,group_name,mode_key,weapon_id,mode,quality,dataset,damage,attackSpeed,range,precision,precisionFalloff,ignoresArmor,armorDamage
same_tier,tier_T1,bludgeon,bludgeon,primary,Q1,vanilla,9.60,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q1,mod,11.20,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,bludgeon,bludgeon,primary,Q2,vanilla,11.40,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q2,mod,13.30,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,bludgeon,bludgeon,primary,Q3,vanilla,12.00,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q3,mod,14.00,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,bludgeon,bludgeon,primary,Q4,vanilla,13.20,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q4,mod,15.40,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,bludgeon,bludgeon,primary,Q5,vanilla,14.40,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q5,mod,16.80,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,bludgeon,bludgeon,primary,Q6,vanilla,16.80,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,bludgeon,bludgeon,primary,Q6,mod,19.60,5.25,0.00,0.990,0.0000,0.0500,1.95
same_tier,tier_T1,cudgel,cudgel,primary,Q1,vanilla,9.60,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q1,mod,8.00,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,cudgel,cudgel,primary,Q2,vanilla,11.40,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q2,mod,9.50,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,cudgel,cudgel,primary,Q3,vanilla,12.00,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q3,mod,10.00,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,cudgel,cudgel,primary,Q4,vanilla,13.20,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q4,mod,11.00,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,cudgel,cudgel,primary,Q5,vanilla,14.40,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q5,mod,12.00,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,cudgel,cudgel,primary,Q6,vanilla,16.80,4.95,0.00,1.000,0.0000,0.5000,1.00
same_tier,tier_T1,cudgel,cudgel,primary,Q6,mod,14.00,4.65,0.00,1.000,0.0000,0.0500,1.50
same_tier,tier_T1,dagger,dagger,primary,Q1,vanilla,9.60,3.15,0.00,1.000,0.0000,0.7000,0.60
same_tier,tier_T1,dagger,dagger,primary,Q1,mod,9.60,2.90,0.00,1.000,0.0000,0.1800,0.55
