weapon_id,quality,dataset,band,armor_profile,flat_mitigation_proxy,center_m,sample_distances_m,mean_distance_expected_armored_dps,min_distance_expected_armored_dps
short_bow,Q1,vanilla,near,none,0.00,10,9/10/11,1.33,1.24
short_bow,Q1,vanilla,near,light,0.28,10,9/10/11,1.26,1.17
short_bow,Q1,vanilla,near,medium,0.48,10,9/10/11,1.21,1.12
short_bow,Q1,vanilla,near,heavy,0.68,10,9/10/11,1.15,1.07
short_bow,Q1,vanilla,mid,none,0.00,18,17/18/19,0.40,0.00
short_bow,Q1,vanilla,mid,light,0.28,18,17/18/19,0.38,0.00
short_bow,Q1,vanilla,mid,medium,0.48,18,17/18/19,0.37,0.00
short_bow,Q1,vanilla,mid,heavy,0.68,18,17/18/19,0.35,0.00
short_bow,Q1,vanilla,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q1,vanilla,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q1,vanilla,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q1,mod,near,none,0.00,10,9/10/11,1.55,1.44
short_bow,Q1,mod,near,light,0.28,10,9/10/11,1.27,1.18
short_bow,Q1,mod,near,medium,0.48,10,9/10/11,1.07,0.99
short_bow,Q1,mod,near,heavy,0.68,10,9/10/11,0.87,0.80
short_bow,Q1,mod,mid,none,0.00,18,17/18/19,0.25,0.00
short_bow,Q1,mod,mid,light,0.28,18,17/18/19,0.21,0.00
short_bow,Q1,mod,mid,medium,0.48,18,17/18/19,0.17,0.00
short_bow,Q1,mod,mid,heavy,0.68,18,17/18/19,0.14,0.00
short_bow,Q1,mod,far,none,0.00,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,light,0.28,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,medium,0.48,22,21/22/23,0.00,0.00
short_bow,Q1,mod,far,heavy,0.68,22,21/22/23,0.00,0.00
short_bow,Q1,mod,ultra_far,none,0.00,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,light,0.28,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,medium,0.48,25,24/25/26,0.00,0.00
short_bow,Q1,mod,ultra_far,heavy,0.68,25,24/25/26,0.00,0.00
short_bow,Q2,vanilla,near,none,0.00,10,9/10/11,1.65,1.58
short_bow,Q2,vanilla,near,light,0.28,10,9/10/11,1.56,1.49
short_bow,Q2,vanilla,near,medium,0.48,10,9/10/11,1.49,1.42
short_bow,Q2,vanilla,near,heavy,0.68,10,9/10/11,1.42,1.36
short_bow,Q2,vanilla,mid,none,0.00,18,17/18/19,0.74,0.00
short_bow,Q2,vanilla,mid,light,0.28,18,17/18/19,0.69,0.00
short_bow,Q2,vanilla,mid,medium,0.48,18,17/18/19,0.66,0.00
short_bow,Q2,vanilla,mid,heavy,0.68,18,17/18/19,0.64,0.00
