weapon_id,quality,ignores_armor_mod,cap,within_cap
short_bow,Q1,0.3500,0.70,yes
short_bow,Q2,0.3500,0.70,yes
short_bow,Q3,0.3500,0.70,yes
short_bow,Q4,0.3500,0.70,yes
short_bow,Q5,0.3500,0.70,yes
short_bow,Q6,0.3500,0.70,yes
war_bow,Q1,0.5500,0.70,yes
war_bow,Q2,0.5500,0.70,yes
war_bow,Q3,0.5500,0.70,yes
war_bow,Q4,0.5500,0.70,yes
war_bow,Q5,0.5500,0.70,yes
war_bow,Q6,0.5500,0.70,yes
curved_bow,Q1,0.7000,0.70,yes
curved_bow,Q2,0.7000,0.70,yes
curved_bow,Q3,0.7000,0.70,yes
curved_bow,Q4,0.7000,0.70,yes
curved_bow,Q5,0.7000,0.70,yes
curved_bow,Q6,0.7000,0.70,yes
long_bow,Q1,0.6500,0.70,yes
long_bow,Q2,0.6500,0.70,yes
long_bow,Q3,0.6500,0.70,yes
long_bow,Q4,0.6500,0.70,yes
long_bow,Q5,0.6500,0.70,yes
long_bow,Q6,0.6500,0.70,yes
light_crossbow,Q1,0.8200,0.85,yes
light_crossbow,Q2,0.8200,0.85,yes
light_crossbow,Q3,0.8200,0.85,yes
light_crossbow,Q4,0.8200,0.85,yes
light_crossbow,Q5,0.8200,0.85,yes
light_crossbow,Q6,0.8200,0.85,yes
crossbow,Q1,0.8400,0.85,yes
crossbow,Q2,0.8400,0.85,yes
crossbow,Q3,0.8400,0.85,yes
crossbow,Q4,0.8400,0.85,yes
crossbow,Q5,0.8400,0.85,yes
crossbow,Q6,0.8400,0.85,yes
heavy_crossbow,Q1,0.8500,0.85,yes
heavy_crossbow,Q2,0.8500,0.85,yes
heavy_crossbow,Q3,0.8500,0.85,yes
heavy_crossbow,Q4,0.8500,0.85,yes
heavy_crossbow,Q5,0.8500,0.85,yes
heavy_crossbow,Q6,0.8500,0.85,yes
